,activation,batch_size,cell_dim,dropout,epochs,gene_dim,hid1_dim,hid2_dim,lookahead,lr_max,score,time
210,elu,96.0,45.0,0.7,26.0,130.0,800.0,680.0,1.0,0.031230565994908838,0.015186919830739498,36.42025804519653
211,elu,96.0,45.0,0.7,22.0,110.0,590.0,740.0,1.0,0.024414614488783935,0.015155008994042873,35.01347804069519
212,elu,96.0,45.0,0.7,23.0,120.0,500.0,710.0,1.0,0.026657141062691275,0.015117553062736988,34.05043697357178
213,elu,96.0,45.0,0.7,23.0,120.0,500.0,690.0,1.0,0.028553742805889355,0.015103941783308983,33.69634532928467
214,elu,96.0,45.0,0.6500000000000001,24.0,120.0,670.0,690.0,1.0,0.02802211727587126,0.015194583684206009,34.79471230506897
215,elu,96.0,45.0,0.7,23.0,120.0,520.0,620.0,1.0,0.025903134207845145,0.015152312815189362,33.154757499694824
216,elu,96.0,45.0,0.7,24.0,100.0,510.0,580.0,1.0,0.02974425466178498,0.015149694867432117,34.26316690444946
217,elu,128.0,45.0,0.6500000000000001,25.0,140.0,710.0,660.0,1.0,0.03453890426936268,0.015178416855633259,28.757150650024414
218,elu,96.0,45.0,0.4,23.0,130.0,630.0,710.0,1.0,0.022738974300672222,0.016969896852970123,32.79597306251526
219,elu,96.0,45.0,0.7,26.0,120.0,510.0,790.0,1.0,0.026913607776346157,0.015123789198696613,40.19123077392578
220,elu,96.0,45.0,0.7,27.0,120.0,880.0,800.0,1.0,0.026707656719018414,0.015186435543000698,39.45720982551575
221,elu,96.0,45.0,0.7,26.0,110.0,510.0,770.0,1.0,0.030693819516413465,0.015155483968555927,37.1851441860199
222,elu,96.0,45.0,0.7,24.0,130.0,620.0,670.0,1.0,0.02417198127359456,0.015111480839550495,34.79673743247986
223,elu,96.0,45.0,0.7,25.0,120.0,620.0,720.0,1.0,0.024238945166514345,0.015090112574398518,35.627002000808716
224,elu,96.0,45.0,0.7,24.0,130.0,660.0,720.0,1.0,0.02399084227965209,0.015129012987017632,34.09547567367554
225,elu,96.0,45.0,0.7,24.0,130.0,750.0,720.0,1.0,0.024906875602037862,0.015129482373595238,33.85090184211731
226,elu,96.0,45.0,0.7,26.0,140.0,660.0,710.0,1.0,0.024126281475285002,0.015100311487913132,36.05591702461243
227,elu,96.0,45.0,0.7,26.0,140.0,630.0,690.0,1.0,0.025128681540928365,0.015155690722167492,36.493340730667114
228,elu,96.0,45.0,0.7,27.0,130.0,780.0,710.0,1.0,0.023802344918149497,0.015146743506193161,39.88396596908569
229,elu,96.0,45.0,0.7,25.0,150.0,710.0,640.0,1.0,0.02869808023374175,0.015154334716498852,36.3229022026062
230,relu,96.0,45.0,0.7,25.0,130.0,620.0,670.0,1.0,0.021412553088845133,0.015794888138771057,36.03564262390137
231,elu,96.0,45.0,0.7,24.0,140.0,670.0,730.0,1.0,0.027640781756467704,0.015146120451390743,34.607980728149414
232,elu,96.0,45.0,0.7,23.0,130.0,750.0,710.0,1.0,0.023578764215709102,0.01514308713376522,33.19554090499878
233,elu,96.0,45.0,0.7,26.0,120.0,670.0,740.0,1.0,0.03257444934441661,0.01515740342438221,36.56681942939758
234,elu,96.0,45.0,0.7,24.0,130.0,820.0,690.0,1.0,0.02868950368374301,0.015148289501667023,34.05309057235718
235,elu,96.0,45.0,0.7,28.0,120.0,590.0,640.0,1.0,0.02548478498337331,0.015152574516832829,38.63504385948181
236,elu,160.0,45.0,0.7,25.0,130.0,710.0,760.0,1.0,0.03269738232474461,0.01513897068798542,27.976620197296143
237,elu,96.0,45.0,0.7,21.0,140.0,620.0,710.0,1.0,0.023062090916926594,0.01517589669674635,31.859416723251343
238,elu,96.0,45.0,0.7,23.0,110.0,770.0,810.0,1.0,0.03768610069431076,0.015135560184717178,33.73602628707886
239,elu,96.0,45.0,0.7,22.0,120.0,500.0,660.0,1.0,0.029907245361918827,0.015143213793635368,32.19586491584778
240,elu,96.0,45.0,0.7,24.0,100.0,660.0,730.0,1.0,0.026626596929079524,0.015127203427255154,34.5845890045166
241,elu,96.0,45.0,0.7,24.0,100.0,660.0,770.0,1.0,0.025762829020343755,0.015138112008571625,34.13734269142151
242,elu,96.0,45.0,0.7,25.0,110.0,590.0,710.0,1.0,0.027612417187792462,0.015143495053052902,34.95545196533203
243,elu,96.0,45.0,0.7,23.0,90.0,690.0,730.0,1.0,0.022090625398267574,0.015151838771998882,33.006880044937134
244,elu,96.0,45.0,0.7,24.0,120.0,560.0,670.0,1.0,0.02507113035129393,0.01514233835041523,33.93564295768738
245,elu,96.0,45.0,0.7,22.0,100.0,720.0,740.0,1.0,0.029774634760063,0.015119469724595547,35.34818077087402
246,elu,96.0,45.0,0.7,21.0,100.0,820.0,620.0,1.0,0.029820141826569294,0.015165104530751705,31.66466474533081
247,elu,96.0,45.0,0.7,22.0,110.0,730.0,850.0,1.0,0.02747019959892331,0.015106773003935814,32.67361831665039
248,elu,200.0,45.0,0.7,22.0,110.0,760.0,860.0,1.0,0.027293785636661967,0.01524398848414421,20.240880966186523
249,elu,96.0,45.0,0.7,26.0,130.0,880.0,800.0,1.0,0.031869633062323724,0.01515992358326912,37.37183904647827
250,elu,96.0,45.0,0.7,24.0,120.0,740.0,850.0,1.0,0.028776522330253573,0.015148639678955078,34.397627115249634
251,elu,96.0,45.0,0.7,25.0,120.0,810.0,770.0,1.0,0.023273088998401248,0.015161391347646713,35.37200880050659
252,elu,96.0,45.0,0.7,23.0,110.0,500.0,810.0,1.0,0.02693230683945362,0.01511636096984148,32.75800704956055
253,elu,64.0,45.0,0.7,22.0,110.0,670.0,780.0,1.0,0.02726701316872497,0.015189746394753456,43.34292244911194
254,elu,96.0,45.0,0.7,23.0,100.0,730.0,820.0,1.0,0.03304815201745555,0.01513852272182703,34.98745632171631
255,elu,96.0,45.0,0.7,27.0,110.0,570.0,750.0,1.0,0.029584714248902806,0.015131558291614056,39.26010799407959
256,elu,96.0,45.0,0.7,22.0,130.0,910.0,830.0,1.0,0.026462380531904646,0.015138570219278336,33.62744688987732
257,elu,160.0,30.0,0.7,26.0,110.0,640.0,800.0,1.0,0.021569568232817565,0.015183226205408573,26.005009412765503
258,elu,96.0,45.0,0.7,25.0,100.0,720.0,740.0,1.0,0.032467323930618824,0.015098591335117817,35.75086712837219
259,elu,96.0,45.0,0.7,25.0,120.0,840.0,680.0,1.0,0.03393963831920039,0.015151068568229675,35.61289143562317
260,elu,96.0,45.0,0.7,24.0,140.0,760.0,730.0,1.0,0.031122517905901297,0.015122798271477222,34.15078806877136
261,elu,96.0,45.0,0.7,27.0,150.0,790.0,740.0,1.0,0.031078204762288817,0.01518558245152235,37.6253080368042
262,elu,96.0,45.0,0.7,24.0,140.0,760.0,720.0,1.0,0.03735457423187338,0.015139266848564148,34.32778739929199
263,elu,96.0,45.0,0.7,23.0,130.0,860.0,790.0,1.0,0.03374777799706236,0.015157390385866165,36.901291370391846
264,elu,128.0,45.0,0.7,25.0,110.0,720.0,750.0,1.0,0.030600436074766008,0.015288421884179115,30.00127863883972
265,elu,96.0,45.0,0.7,26.0,140.0,650.0,840.0,1.0,0.02899424933951568,0.015169315971434116,37.46491289138794
266,elu,96.0,45.0,0.7,23.0,100.0,790.0,690.0,1.0,0.03999814028771071,0.015159186907112598,33.37009310722351
267,relu,96.0,45.0,0.7,24.0,120.0,510.0,720.0,1.0,0.034749536142564035,0.015786055475473404,34.581069469451904
268,elu,96.0,45.0,0.7,25.0,130.0,910.0,780.0,1.0,0.031329402760707,0.015174123458564281,36.29367661476135
269,elu,96.0,45.0,0.7,28.0,120.0,560.0,670.0,0.0,0.027350895030898627,0.015137112699449062,28.711201906204224
270,elu,96.0,45.0,0.7,23.0,140.0,710.0,740.0,1.0,0.02439143571587929,0.01510483119636774,32.939045906066895
271,elu,96.0,50.0,0.7,22.0,150.0,680.0,810.0,1.0,0.02925355081779657,0.015126420184969902,31.629958391189575
272,elu,160.0,50.0,0.7,22.0,160.0,610.0,830.0,1.0,0.036522244755406705,0.01513374038040638,22.716553449630737
273,elu,96.0,50.0,0.7,23.0,140.0,550.0,860.0,1.0,0.03136840528671157,0.015113669447600842,35.25884962081909
274,elu,96.0,50.0,0.7,23.0,150.0,500.0,870.0,1.0,0.032556044897508796,0.015103786252439022,34.489723682403564
275,elu,96.0,50.0,0.7,20.0,150.0,500.0,850.0,1.0,0.03343138902089045,0.015101218596100807,30.170637369155884
276,elu,96.0,50.0,0.7,20.0,150.0,500.0,840.0,1.0,0.03791292330182068,0.015107824467122555,29.967851638793945
277,elu,96.0,50.0,0.6500000000000001,20.0,150.0,510.0,870.0,1.0,0.04026975703597517,0.015147227793931961,29.832252502441406
278,elu,96.0,50.0,0.7,20.0,150.0,560.0,900.0,1.0,0.03750334076022711,0.01512870192527771,29.57481360435486
279,elu,96.0,50.0,0.7,21.0,160.0,500.0,870.0,1.0,0.03299649037860966,0.01512473076581955,30.720467567443848
280,elu,96.0,50.0,0.7,19.0,160.0,520.0,860.0,1.0,0.03426234537247197,0.015150797553360462,28.096222162246704
281,elu,96.0,50.0,0.7,19.0,170.0,520.0,890.0,1.0,0.03819967115115398,0.015140345320105553,27.916143894195557
282,elu,200.0,50.0,0.6500000000000001,20.0,150.0,570.0,860.0,1.0,0.033468432648431266,0.015202687121927738,21.967419862747192
283,elu,96.0,50.0,0.7,21.0,170.0,510.0,910.0,1.0,0.041309203992664946,0.015102419070899487,31.924615144729614
284,elu,96.0,50.0,0.7,21.0,170.0,500.0,920.0,1.0,0.04541801900229619,0.015135678462684155,31.657730102539062
285,elu,96.0,50.0,0.7,20.0,160.0,510.0,890.0,1.0,0.041513854658949946,0.01508418470621109,29.974483251571655
286,elu,96.0,50.0,0.6500000000000001,20.0,170.0,500.0,900.0,1.0,0.04289390202692792,0.015132760629057884,29.88994812965393
287,elu,96.0,50.0,0.7,20.0,190.0,500.0,860.0,1.0,0.040629463976546015,0.015150378458201885,29.7903950214386
288,elu,96.0,50.0,0.7,19.0,150.0,570.0,840.0,1.0,0.038071467115621184,0.015143566764891148,28.479100704193115
289,elu,64.0,50.0,0.7,21.0,160.0,580.0,920.0,1.0,0.03662434437289251,0.015182551927864552,41.77737498283386
290,elu,96.0,50.0,0.7,22.0,140.0,600.0,930.0,1.0,0.04557070363138678,0.015112021937966347,31.49849224090576
291,elu,160.0,50.0,0.7,19.0,140.0,580.0,940.0,1.0,0.04564839112276714,0.015139615163207054,20.424694299697876
292,elu,96.0,50.0,0.6500000000000001,22.0,140.0,500.0,890.0,1.0,0.04133423242201746,0.015145277604460716,31.657192945480347
293,elu,96.0,50.0,0.7,21.0,170.0,500.0,900.0,1.0,0.05490736374888892,0.015148242004215717,34.80380463600159
294,elu,96.0,50.0,0.7,22.0,150.0,610.0,820.0,1.0,0.04329771358197071,0.015133208595216274,33.021835803985596
295,elu,96.0,50.0,0.7,18.0,180.0,500.0,940.0,1.0,0.04658496805996272,0.015117332339286804,27.94622254371643
296,elu,96.0,50.0,0.7,18.0,180.0,500.0,940.0,1.0,0.045946398303004,0.015142452903091908,27.709984064102173
297,relu,96.0,50.0,0.6500000000000001,20.0,180.0,500.0,880.0,1.0,0.04115978742033884,0.015487520955502987,29.831356525421143
298,elu,96.0,50.0,0.7,19.0,160.0,590.0,940.0,0.0,0.050521864798565505,0.015106858685612679,21.94483709335327
299,elu,128.0,50.0,0.7,19.0,180.0,620.0,940.0,0.0,0.05634501061469448,0.015238230116665363,18.26847505569458
300,elu,96.0,50.0,0.15000000000000002,18.0,160.0,600.0,980.0,0.0,0.04908185258529677,0.023289810866117477,20.937146186828613
301,elu,96.0,50.0,0.7,19.0,160.0,620.0,960.0,0.0,0.04731226077487911,0.015153047628700733,21.580137729644775
302,elu,96.0,50.0,0.35000000000000003,18.0,150.0,2330.0,920.0,0.0,0.0501347607419935,0.020557070150971413,25.926461696624756
303,elu,96.0,50.0,0.6500000000000001,20.0,140.0,560.0,860.0,0.0,0.043324509817434666,0.01517527550458908,21.999592542648315
304,elu,96.0,50.0,0.7,21.0,140.0,560.0,840.0,0.0,0.03835204604190224,0.015136204659938812,22.84792399406433
305,elu,96.0,50.0,0.7,22.0,170.0,500.0,920.0,1.0,0.06122847363289123,0.015107842162251472,36.147483587265015
306,elu,96.0,50.0,0.7,22.0,170.0,650.0,920.0,1.0,0.061623672072679596,0.015183545649051666,33.52827548980713
307,elu,160.0,50.0,0.7,20.0,190.0,500.0,1000.0,0.0,0.07582101929307784,0.015113200061023235,16.92081356048584
308,elu,160.0,50.0,0.7,18.0,200.0,500.0,1010.0,0.0,0.09362309110478517,0.01514127105474472,15.640230655670166
309,elu,160.0,50.0,0.6500000000000001,20.0,190.0,570.0,990.0,0.0,0.062575189710694,0.015091863460838795,17.01011633872986
310,elu,160.0,50.0,0.6500000000000001,20.0,180.0,500.0,990.0,0.0,0.058349004097793256,0.015136783942580223,16.632548570632935
311,elu,160.0,50.0,0.6500000000000001,18.0,190.0,2150.0,960.0,0.0,0.06905661536587425,0.01526789739727974,18.82470941543579
312,elu,160.0,50.0,0.7,20.0,190.0,560.0,940.0,0.0,0.07021945924944337,0.015111242420971394,16.662696361541748
313,elu,160.0,50.0,0.7,19.0,190.0,500.0,1010.0,0.0,0.062337796019089745,0.015078632161021233,15.912630796432495
314,elu,160.0,50.0,0.7,19.0,190.0,500.0,1050.0,0.0,0.06988268944171301,0.015137962996959686,15.975890398025513
315,elu,160.0,50.0,0.6500000000000001,20.0,180.0,570.0,1000.0,0.0,0.07755498554787743,0.015153615735471249,16.723994493484497
316,elu,160.0,50.0,0.7,17.0,210.0,560.0,970.0,0.0,0.08069960299311821,0.015119928866624832,14.741647720336914
317,elu,160.0,50.0,0.7,19.0,200.0,3790.0,950.0,0.0,0.06483803665073597,0.015241353772580624,23.762471675872803
318,elu,160.0,50.0,0.7,20.0,190.0,500.0,1010.0,0.0,0.07485540541106114,0.015114858746528625,16.272401094436646
319,elu,160.0,50.0,0.6500000000000001,20.0,190.0,500.0,1030.0,0.0,0.08458889701875082,0.01512686163187027,16.475167751312256
320,elu,160.0,50.0,0.7,19.0,190.0,570.0,1020.0,0.0,0.07041006598622604,0.015065023675560951,16.093310832977295
321,elu,160.0,50.0,0.7,20.0,200.0,600.0,1020.0,0.0,0.06302697586701177,0.015096602030098438,20.245407581329346
322,elu,160.0,50.0,0.7,19.0,210.0,570.0,1090.0,0.0,0.07258687519811281,0.015100893564522266,17.06585931777954
323,elu,160.0,50.0,0.7,17.0,210.0,600.0,1030.0,0.0,0.07612781749252248,0.015148798003792763,15.574724197387695
324,elu,160.0,50.0,0.6500000000000001,19.0,210.0,580.0,1020.0,0.0,0.0728752198801757,0.015098148956894875,16.747161865234375
325,elu,160.0,50.0,0.6500000000000001,18.0,210.0,610.0,1060.0,0.0,0.06332528353149582,0.015085184015333652,16.068889379501343
326,elu,160.0,50.0,0.6500000000000001,19.0,210.0,620.0,1090.0,0.0,0.06362360361890396,0.015155610628426075,16.646782875061035
327,relu,160.0,50.0,0.6500000000000001,17.0,220.0,620.0,1080.0,0.0,0.06842369096364857,0.015564266592264175,15.38618278503418
328,elu,160.0,50.0,0.6500000000000001,18.0,200.0,580.0,1050.0,0.0,0.06301385056813825,0.01513673271983862,15.828022956848145
329,elu,160.0,50.0,0.6500000000000001,19.0,200.0,630.0,1110.0,0.0,0.07265232370054346,0.015149064362049103,16.63262128829956
330,elu,160.0,50.0,0.6500000000000001,19.0,220.0,570.0,1140.0,0.0,0.059967659540010425,0.015122477896511555,16.42693829536438
331,elu,160.0,50.0,0.6500000000000001,19.0,210.0,640.0,1030.0,0.0,0.0813837898512291,0.01513055432587862,16.446398496627808
332,elu,160.0,50.0,0.6500000000000001,18.0,200.0,570.0,980.0,0.0,0.07014742663611519,0.01506941020488739,15.49660062789917
333,elu,160.0,50.0,0.6500000000000001,17.0,200.0,2770.0,1070.0,0.0,0.0661698085984132,0.015329291112720966,19.97951602935791
334,elu,160.0,50.0,0.6500000000000001,16.0,210.0,560.0,1030.0,0.0,0.07032127866250316,0.015091021545231342,14.284572839736938
335,elu,160.0,50.0,0.6500000000000001,16.0,210.0,570.0,1030.0,0.0,0.08820246096819385,0.01509489119052887,14.259360551834106
336,elu,160.0,50.0,0.6000000000000001,17.0,210.0,560.0,1050.0,0.0,0.08539815302902673,0.015133541077375412,14.914273738861084
337,elu,160.0,50.0,0.6500000000000001,18.0,220.0,550.0,990.0,0.0,0.09318010576905204,0.015098728239536285,15.465245723724365
338,elu,160.0,50.0,0.6500000000000001,16.0,220.0,640.0,1000.0,0.0,0.08788076314359552,0.01509476825594902,17.78744626045227
339,elu,160.0,50.0,0.6500000000000001,16.0,230.0,660.0,1020.0,0.0,0.09807883161975876,0.015090541914105415,15.167937278747559
340,elu,160.0,50.0,0.6000000000000001,16.0,220.0,660.0,1020.0,0.0,0.09436671230760925,0.015067584812641144,15.060679912567139
341,elu,160.0,50.0,0.6000000000000001,16.0,240.0,670.0,1020.0,0.0,0.09793634255483694,0.0151802534237504,15.003239393234253
342,elu,160.0,50.0,0.6500000000000001,15.0,230.0,680.0,1100.0,0.0,0.09974733790289612,0.015066932886838913,14.268705606460571
343,elu,160.0,50.0,0.6000000000000001,16.0,230.0,670.0,1110.0,0.0,0.09728957486543831,0.015127243474125862,14.930766105651855
344,elu,160.0,50.0,0.6500000000000001,15.0,240.0,670.0,1090.0,0.0,0.08919144318318445,0.015090963803231716,14.198451519012451
345,elu,160.0,50.0,0.6000000000000001,15.0,230.0,650.0,1060.0,0.0,0.08778844306846315,0.015136197209358215,14.044615030288696
346,elu,160.0,50.0,0.6500000000000001,15.0,240.0,660.0,1120.0,0.0,0.08903405333589973,0.015114543959498405,14.089270830154419
347,elu,160.0,50.0,0.6500000000000001,14.0,220.0,620.0,1170.0,0.0,0.09633272031086393,0.01508285291492939,13.416878700256348
348,elu,160.0,50.0,0.6500000000000001,14.0,220.0,580.0,1160.0,0.0,0.0909890919965206,0.015117698349058628,13.271324396133423
349,elu,160.0,50.0,0.6500000000000001,15.0,220.0,630.0,1090.0,0.0,0.09650438733956206,0.015075869858264923,13.93746829032898
350,elu,160.0,50.0,0.6500000000000001,15.0,220.0,640.0,1080.0,0.0,0.09835983762734207,0.01509095262736082,13.846059083938599
351,elu,160.0,50.0,0.6500000000000001,13.0,220.0,650.0,1080.0,0.0,0.09827382959946449,0.015182542614638805,12.56095576286316
352,elu,160.0,50.0,0.6000000000000001,16.0,230.0,680.0,1200.0,0.0,0.09582484941938278,0.015104963444173336,14.666560411453247
353,elu,160.0,50.0,0.6500000000000001,15.0,220.0,620.0,1130.0,0.0,0.09872574280916711,0.01506095938384533,13.787192344665527
354,elu,160.0,50.0,0.6500000000000001,15.0,220.0,630.0,1090.0,0.0,0.08132824908205978,0.015086336992681026,13.865407228469849
355,elu,160.0,50.0,0.6500000000000001,15.0,240.0,680.0,1140.0,0.0,0.09854438448452742,0.015084217302501202,16.88471508026123
356,elu,160.0,50.0,0.6500000000000001,14.0,240.0,710.0,1180.0,0.0,0.0988899758333134,0.01510306354612112,14.4928297996521
357,elu,160.0,50.0,0.6500000000000001,15.0,220.0,690.0,1140.0,0.0,0.08189917819307471,0.015098950825631618,14.609527587890625
358,relu,160.0,50.0,0.6500000000000001,15.0,220.0,710.0,1140.0,0.0,0.08864510896724244,0.015554004348814487,14.556044101715088
359,elu,160.0,50.0,0.6500000000000001,15.0,230.0,770.0,1260.0,0.0,0.07977255578148357,0.015040452592074871,14.835242509841919
360,elu,160.0,50.0,0.6000000000000001,13.0,230.0,830.0,1290.0,0.0,0.08161249862553564,0.01508378516882658,13.464523792266846
361,elu,160.0,50.0,0.6000000000000001,12.0,230.0,790.0,1280.0,0.0,0.0995378881167522,0.015103948302567005,12.694480895996094
362,elu,160.0,50.0,0.6500000000000001,13.0,240.0,780.0,1290.0,0.0,0.08000323632127614,0.015108216553926468,13.28369688987732
363,elu,160.0,50.0,0.6000000000000001,16.0,250.0,840.0,1240.0,0.0,0.08629444944373335,0.01519580278545618,15.367592096328735
364,elu,160.0,50.0,0.6500000000000001,14.0,230.0,740.0,1320.0,0.0,0.07842830114670205,0.015078241936862469,13.825186729431152
365,elu,160.0,50.0,0.6500000000000001,14.0,230.0,780.0,1430.0,0.0,0.07814497436740166,0.015084560960531235,13.918638467788696
366,elu,160.0,50.0,0.6500000000000001,14.0,230.0,800.0,1360.0,0.0,0.08059893997376288,0.01506276335567236,13.860451221466064
367,elu,160.0,50.0,0.6500000000000001,14.0,230.0,850.0,1380.0,0.0,0.08070093881367293,0.015090152621269226,13.871549844741821
368,elu,160.0,50.0,0.6000000000000001,14.0,230.0,1000.0,1360.0,0.0,0.09971159436548208,0.015153591521084309,14.080301761627197
369,elu,160.0,50.0,0.6500000000000001,12.0,240.0,920.0,1380.0,0.0,0.07833741339726671,0.015164063312113285,12.662636518478394
370,elu,160.0,50.0,0.6000000000000001,13.0,230.0,830.0,1460.0,0.0,0.08026730658154471,0.015092721208930016,13.174279928207397
371,elu,160.0,50.0,0.6000000000000001,14.0,230.0,940.0,1440.0,0.0,0.07832486193361654,0.015162253752350807,14.113881587982178
372,elu,160.0,50.0,0.6000000000000001,13.0,260.0,850.0,1320.0,0.0,0.0821671869406458,0.015069699846208096,13.262153387069702
373,elu,160.0,50.0,0.6000000000000001,14.0,260.0,860.0,1410.0,0.0,0.09127124112785971,0.015155795961618423,14.129363059997559
374,elu,160.0,50.0,0.6500000000000001,11.0,280.0,1020.0,1360.0,0.0,0.0744852739110628,0.01515987142920494,15.67375659942627
375,elu,160.0,50.0,0.6500000000000001,13.0,250.0,890.0,1320.0,0.0,0.09927648586203591,0.015094657428562641,13.93765902519226
376,elu,160.0,50.0,0.6500000000000001,15.0,250.0,830.0,1320.0,0.0,0.08541880380288905,0.01507283840328455,15.084012746810913
377,elu,160.0,50.0,0.6000000000000001,15.0,260.0,940.0,1270.0,0.0,0.0850239749555242,0.015160882845520973,15.259360313415527
378,elu,160.0,50.0,0.6500000000000001,14.0,240.0,850.0,1340.0,0.0,0.0997472154373908,0.015103946439921856,14.24361252784729
379,elu,160.0,50.0,0.6000000000000001,15.0,250.0,1000.0,1500.0,0.0,0.08118901201771121,0.015231468714773655,15.430275678634644
380,elu,160.0,50.0,0.6500000000000001,12.0,230.0,880.0,1320.0,0.0,0.07007130041609749,0.015105536207556725,12.760379076004028
381,elu,160.0,50.0,0.6500000000000001,15.0,230.0,810.0,1220.0,0.0,0.09202053404577695,0.015073385089635849,14.54816460609436
382,elu,160.0,50.0,0.6500000000000001,15.0,240.0,1080.0,1240.0,0.0,0.09230870377266459,0.01510993018746376,15.15355896949768
383,elu,160.0,50.0,0.6500000000000001,14.0,230.0,810.0,1200.0,0.0,0.0999284401241561,0.015094584785401821,13.75865387916565
384,elu,160.0,50.0,0.6000000000000001,13.0,260.0,960.0,1300.0,0.0,0.0875985221315553,0.015100536867976189,13.544086217880249
385,elu,160.0,50.0,0.6500000000000001,14.0,220.0,810.0,1210.0,0.0,0.08058497924804639,0.015108592808246613,13.755226850509644
386,elu,160.0,50.0,0.6500000000000001,15.0,250.0,870.0,1390.0,0.0,0.09921534070648641,0.015088237822055817,14.605350017547607
387,elu,160.0,50.0,0.6500000000000001,12.0,230.0,900.0,1390.0,0.0,0.09846180990547472,0.015115569345653057,12.65862774848938
388,elu,160.0,50.0,0.6000000000000001,13.0,250.0,840.0,1410.0,0.0,0.09982071953893912,0.015061742626130581,13.138965845108032
389,relu,160.0,50.0,0.6000000000000001,13.0,250.0,930.0,1410.0,0.0,0.0797138291657476,0.015343233942985535,13.387245178222656
390,elu,160.0,50.0,0.6000000000000001,11.0,270.0,850.0,1330.0,0.0,0.07386368952068839,0.015123240649700165,11.722719192504883
391,elu,160.0,50.0,0.6000000000000001,13.0,230.0,970.0,1380.0,0.0,0.08418229296575304,0.015112916938960552,13.28496766090393
392,elu,160.0,50.0,0.6000000000000001,16.0,250.0,810.0,1260.0,0.0,0.09170126956538562,0.015158569440245628,15.07783555984497
393,elu,160.0,50.0,0.6500000000000001,14.0,240.0,880.0,1350.0,0.0,0.09979073936371158,0.015092402696609497,17.15604257583618
394,elu,160.0,50.0,0.6500000000000001,15.0,230.0,810.0,1440.0,0.0,0.07469719318921793,0.015085434541106224,15.64668607711792
395,elu,160.0,50.0,0.6000000000000001,10.0,220.0,1030.0,1440.0,0.0,0.07646324096299371,0.015136662870645523,11.966071367263794
396,elu,160.0,50.0,0.6500000000000001,13.0,270.0,820.0,1540.0,0.0,0.06768083050839903,0.015103655867278576,13.87368369102478
397,elu,160.0,50.0,0.6500000000000001,12.0,260.0,870.0,1510.0,0.0,0.08336422450181061,0.015139906667172909,13.141784191131592
398,elu,160.0,50.0,0.6500000000000001,15.0,240.0,780.0,1430.0,0.0,0.0738000634348077,0.015039749443531036,14.924726009368896
399,elu,160.0,50.0,0.6500000000000001,15.0,240.0,940.0,1430.0,0.0,0.07213257043900487,0.01511717215180397,15.188242197036743
400,elu,160.0,50.0,0.6000000000000001,15.0,250.0,770.0,1460.0,0.0,0.06806378165459055,0.01513894833624363,14.865006685256958
401,elu,160.0,50.0,0.6500000000000001,16.0,220.0,780.0,1300.0,0.0,0.09152685321987193,0.015109095722436905,15.200302600860596
402,elu,160.0,50.0,0.6000000000000001,17.0,240.0,770.0,1230.0,0.0,0.07585418330123285,0.015175911597907543,15.779296159744263
403,elu,160.0,50.0,0.6500000000000001,14.0,230.0,790.0,1470.0,0.0,0.08602255096593611,0.015103607438504696,14.015552043914795
404,elu,160.0,50.0,0.6500000000000001,15.0,220.0,890.0,1170.0,0.0,0.067407119057641,0.015114127658307552,14.567342519760132
405,elu,160.0,50.0,0.6000000000000001,13.0,260.0,770.0,1410.0,0.0,0.07521165452369517,0.015101059339940548,13.23728346824646
406,elu,160.0,50.0,0.6500000000000001,16.0,240.0,740.0,1330.0,0.0,0.056510110804286105,0.015085045248270035,15.09268307685852
407,elu,160.0,50.0,0.6500000000000001,16.0,250.0,840.0,1350.0,0.0,0.0587333451510481,0.01510656625032425,15.150439262390137
408,elu,160.0,50.0,0.6500000000000001,12.0,240.0,960.0,1270.0,0.0,0.06569444711950054,0.015131968073546886,12.549759149551392
409,elu,160.0,50.0,0.6500000000000001,17.0,230.0,750.0,1380.0,0.0,0.09153049712198094,0.015100914984941483,15.559309720993042
410,elu,160.0,50.0,0.6500000000000001,15.0,240.0,850.0,1300.0,0.0,0.08201852305508207,0.015108320862054825,14.307925462722778
411,elu,160.0,50.0,0.6000000000000001,16.0,230.0,760.0,1320.0,0.0,0.055783958276979316,0.015167825855314732,14.985862493515015
