,activation,batch_size,dropout,epochs,hidden_dim,hidden_layers,lookahead,lr_max,lr_sched,score,time
70,elu,96.0,0.5,5.0,1796.0,2.0,1.0,0.05607048876427055,OneCycle,0.01594126597046852,14.175439357757568
71,elu,96.0,0.45,17.0,1820.0,2.0,0.0,0.03178829632508549,OneCycle,0.015015589073300362,29.14584708213806
72,elu,96.0,0.45,15.0,1963.0,2.0,0.0,0.010899516505144872,OneCycle,0.015030521899461746,24.462596893310547
73,elu,96.0,0.45,12.0,1692.0,2.0,0.0,0.0403487645478489,OneCycle,0.014967523515224457,21.495330810546875
74,elu,96.0,0.2,11.0,1683.0,2.0,0.0,0.04819731571922232,OneCycle,0.01582256890833378,18.337567806243896
75,elu,96.0,0.5,13.0,1734.0,2.0,0.0,0.024653811432275612,OneCycle,0.015095576643943787,21.159854650497437
76,elu,64.0,0.45,15.0,1898.0,2.0,0.0,0.006338975111522503,OneCycle,0.015477651730179787,36.594170808792114
77,elu,96.0,0.5,9.0,1679.0,2.0,0.0,0.013816251716645437,OneCycle,0.015481005422770977,14.795716524124146
78,relu,96.0,0.45,24.0,1847.0,2.0,0.0,0.01841069611082548,OneCycle,0.015159035101532936,39.720789670944214
79,elu,96.0,0.5,12.0,1761.0,2.0,0.0,0.04014569659041924,OneCycle,0.015143940225243568,20.273938417434692
80,elu,96.0,0.45,18.0,1893.0,2.0,0.0,0.004820310758481553,OneCycle,0.015075444243848324,30.36041021347046
81,elu,96.0,0.45,20.0,1946.0,2.0,0.0,0.009716366620826464,OneCycle,0.014948158524930477,35.420668840408325
82,elu,96.0,0.45,21.0,1933.0,2.0,0.0,0.015233734004972473,OneCycle,0.01498680654913187,34.62858819961548
83,elu,96.0,0.45,20.0,1931.0,2.0,0.0,0.022174079235490043,OneCycle,0.015034230425953865,34.189022064208984
84,elu,96.0,0.1,24.0,1826.0,2.0,0.0,0.02977600745103933,OneCycle,0.028936896473169327,39.27373290061951
85,elu,96.0,0.5,28.0,1801.0,2.0,0.0,0.016520148947619825,OneCycle,0.015000751242041588,43.622018337249756
86,elu,96.0,0.45,21.0,1908.0,1.0,0.0,0.011759857306389688,OneCycle,0.015703460201621056,27.25978446006775
87,elu,160.0,0.45,18.0,1723.0,2.0,0.0,0.08606073645623039,OneCycle,0.015005946159362793,19.668313026428223
88,elu,96.0,0.45,16.0,1954.0,2.0,0.0,0.014115539162580069,OneCycle,0.014955796301364899,27.854241132736206
89,elu,128.0,0.5,19.0,1945.0,2.0,0.0,0.022906448531337085,OneCycle,0.015135358087718487,25.558947563171387
90,elu,96.0,0.4,25.0,1771.0,2.0,0.0,0.0397807668324993,OneCycle,0.015970317646861076,41.37859582901001
91,elu,96.0,0.45,16.0,1868.0,2.0,0.0,0.015233240390487858,OneCycle,0.014962626621127129,27.31400752067566
92,elu,96.0,0.45,16.0,1866.0,2.0,0.0,0.014957812161216593,OneCycle,0.014982089400291443,26.824069261550903
93,elu,96.0,0.45,16.0,1867.0,2.0,0.0,0.013782186677223052,OneCycle,0.014955037273466587,27.993114948272705
94,elu,96.0,0.45,15.0,508.0,2.0,0.0,0.01272289075822406,OneCycle,0.015262974426150322,22.744710683822632
95,elu,96.0,0.4,19.0,1837.0,2.0,0.0,0.020175386951946095,OneCycle,0.015158304013311863,31.57340431213379
96,elu,200.0,0.5,17.0,1799.0,2.0,0.0,0.06346478890998801,OneCycle,0.014935187995433807,15.890464067459106
97,relu,200.0,0.45,14.0,1657.0,2.0,0.0,0.060223329197594856,OneCycle,0.015255490317940712,13.507858276367188
98,elu,200.0,0.4,18.0,1591.0,1.0,1.0,0.09621672170782053,OneCycle,0.016092024743556976,18.4062762260437
99,elu,200.0,0.45,22.0,1893.0,2.0,0.0,0.06927026607275737,OneCycle,0.015129298903048038,20.374891757965088
100,elu,200.0,0.5,17.0,1749.0,2.0,0.0,0.04758708074115225,OneCycle,0.014928946271538734,16.014489889144897
101,elu,200.0,0.5,17.0,1710.0,2.0,0.0,0.05223506257665631,OneCycle,0.014975185506045818,16.21835994720459
102,elu,200.0,0.5,13.0,1820.0,2.0,0.0,0.038174388890418874,OneCycle,0.015144572593271732,12.677849292755127
103,elu,200.0,0.45,20.0,1757.0,2.0,0.0,0.028209463122189055,OneCycle,0.014930988661944866,19.38091802597046
104,elu,200.0,0.5,20.0,1753.0,2.0,0.0,0.04491881004439969,OneCycle,0.014921977184712887,18.934962034225464
105,elu,200.0,0.5,20.0,1748.0,2.0,0.0,0.07454518232398948,OneCycle,0.014953219331800938,18.56153130531311
106,elu,200.0,0.5,24.0,1756.0,2.0,0.0,0.08233308720420107,OneCycle,0.015045168809592724,21.662465810775757
107,elu,200.0,0.5,21.0,1553.0,2.0,0.0,0.04486992798889644,OneCycle,0.01495588943362236,19.53338098526001
108,elu,200.0,0.5,21.0,1660.0,2.0,0.0,0.04849798954009377,OneCycle,0.014916599728167057,18.56610655784607
109,elu,200.0,0.5,22.0,1665.0,2.0,0.0,0.06435062216770564,OneCycle,0.014928329735994339,20.970748901367188
110,elu,200.0,0.5,22.0,1634.0,2.0,0.0,0.06437502621295291,OneCycle,0.014876960776746273,20.018918991088867
111,elu,200.0,0.5,22.0,1629.0,2.0,0.0,0.0672966466933571,OneCycle,0.014956026338040829,19.440775394439697
112,elu,200.0,0.5,27.0,1606.0,2.0,0.0,0.09807468543119906,OneCycle,0.015056606382131577,23.63456082344055
113,elu,200.0,0.5,21.0,1662.0,2.0,0.0,0.05840831152163095,OneCycle,0.014881005510687828,18.50596308708191
114,elu,200.0,0.5,23.0,1657.0,2.0,0.0,0.0599364106085644,OneCycle,0.014984838664531708,21.864595890045166
115,elu,200.0,0.5,20.0,1557.0,2.0,0.0,0.04993203565088795,OneCycle,0.014946562238037586,17.81779646873474
116,elu,200.0,0.5,23.0,1527.0,2.0,0.0,0.05462659581386723,OneCycle,0.0149602135643363,22.253052711486816
117,elu,200.0,0.5,21.0,1559.0,2.0,0.0,0.04530368702423485,OneCycle,0.014941191300749779,20.25139856338501
118,elu,200.0,0.5,21.0,1550.0,2.0,0.0,0.044935333967034266,OneCycle,0.014942296780645847,19.251708984375
119,elu,200.0,0.5,25.0,1548.0,2.0,0.0,0.049282795589238294,OneCycle,0.014959496445953846,22.90452003479004
120,elu,200.0,0.5,22.0,1579.0,2.0,0.0,0.03552916254296393,OneCycle,0.014924037270247936,19.48050594329834
121,elu,200.0,0.5,22.0,1594.0,2.0,0.0,0.03517937039689266,OneCycle,0.01489158347249031,19.747639894485474
122,elu,200.0,0.5,22.0,1585.0,2.0,0.0,0.028942879403848217,OneCycle,0.014956231229007244,20.533979654312134
123,elu,200.0,0.5,24.0,1432.0,2.0,0.0,0.03462471750821362,OneCycle,0.014927593059837818,20.596718549728394
124,elu,200.0,0.5,24.0,1442.0,2.0,0.0,0.03463894888513627,OneCycle,0.014920235611498356,21.84442639350891
